student,がくせい
Excuse me,すみませ
by,じゃあね
Now,いま　・　今
Shoes,くつ　・　靴 
coat,コト
hat,ぼうし
country,くに
people,人　・　ひと
lenguaje,ことば
book,ほん
dictionary,じしょ
magazine,ざっし
newspaper,しんぶん
notebook,ノート
pencil,えんぴつ
key,かぎ
Watch,とけい
umbrella,かさ
desk,つくえ
chair,いす
Interesting-fun-funny,おもしろい　・　面白い
Boring,つまらない
Cute-pretty,かわいい　・　可愛い
Frightening,こわい
Small,ちいさい
big,おおきい
New,あたらしい
Old,ふるい
Busy,いそがしい
Not busy,ひま(な)
Hot,あつい
Cold,さむい
good-delicious,おいしい
pear,なし
apple,りんご
Strawberry,いちご
Peach,もも
Watermelon,すいか
Grapes,ぶどう
Cherry,さくらんぼ
white,しろい
red,あかい
black,くろい
orange,オレンジ
yellow,きいろ
green,みどり
light-blue,みずいろ
purple,むらさき
pink,ピンク
brown,ちゃいろい
gray,はいいろ
gold,きにる
